"channel_name","total_conversions","total_conversion_value"
"1",82.2318549101257,82.2318549101257
"20",432.634854788115,432.634854788115
"12",83.6810947075099,83.6810947075099
"14",63.4494011657883,63.4494011657883
"13",195.589709025217,195.589709025217
"3",122.734076677543,122.734076677543
"17",83.9264593017078,83.9264593017078
"6",63.2587581717353,63.2587581717353
"8",61.2834849277975,61.2834849277975
"10",209.380140666019,209.380140666019
"11",118.587003152588,118.587003152588
"16",158.777959043912,158.777959043912
"2",97.5085958193776,97.5085958193776
"4",223.604814682163,223.604814682163
"7",42.3262751055782,42.3262751055782
"5",81.7358300830063,81.7358300830063
"9",179.451544216911,179.451544216911
"15",70.3390271453142,70.3390271453142
"18",5.87521696178717,5.87521696178717
"19",15.6238994478052,15.6238994478052
